source,series,ticker,event_ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,close_time,status,scraped_at
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-XSCH,KXPGAR1LEAD-FESJC26,Will Xander Schauffele lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0220,0.0320,0.0320,39797.73,39797.73,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160731+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-WKIM,KXPGAR1LEAD-FESJC26,Will Si Woo Kim lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0190,0.0200,0.0200,8445.84,8445.84,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160749+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-WCLA,KXPGAR1LEAD-FESJC26,Will Wyndham Clark lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0140,0.0180,0.0180,10779.68,9876.00,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160753+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-VHOV,KXPGAR1LEAD-FESJC26,Will Viktor Hovland lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0190,0.0200,0.0210,4019.56,4019.56,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160756+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-TKIM,KXPGAR1LEAD-FESJC26,Will Tom Kim lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0180,0.0190,0.0190,17725.53,17725.53,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160758+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-TFLE,KXPGAR1LEAD-FESJC26,Will Tommy Fleetwood lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0250,0.0270,0.0270,36751.68,36251.68,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160762+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-SYEL,KXPGAR1LEAD-FESJC26,Will Sudarshan Yellamaraju lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0030,0.0080,0.0080,26688.05,25288.05,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160764+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-STHE,KXPGAR1LEAD-FESJC26,Will Sahith Theegala lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0060,0.0110,0.0080,11436.46,7885.73,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160767+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-SSTR,KXPGAR1LEAD-FESJC26,Will Sepp Straka lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0070,0.0100,0.0100,18549.95,18549.95,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160770+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-SSTE,KXPGAR1LEAD-FESJC26,Will Sam Stevens lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0050,0.0090,0.0100,3306.96,3006.96,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160772+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-SSCH,KXPGAR1LEAD-FESJC26,Will Scottie Scheffler lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0540,0.0570,0.0590,151455.86,150762.76,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160776+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-SLOW,KXPGAR1LEAD-FESJC26,Will Shane Lowry lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0100,0.0120,0.0130,29698.95,29698.95,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160782+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-SIM,KXPGAR1LEAD-FESJC26,Will Sungjae Im lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0130,0.0160,0.0150,8479.14,8351.14,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160785+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-SBUR,KXPGAR1LEAD-FESJC26,Will Sam Burns lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0240,0.0290,0.0290,27779.04,27774.04,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160788+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-RMCI,KXPGAR1LEAD-FESJC26,Will Rory McIlroy lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0340,0.0350,0.0350,26782.00,26582.00,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160791+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-RMAC,KXPGAR1LEAD-FESJC26,Will Robert MacIntyre lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0110,0.0150,0.0140,2634.20,2634.20,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160793+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-RHIS,KXPGAR1LEAD-FESJC26,Will Ryo Hisatsune lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0070,0.0100,0.0100,4164.20,4064.20,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160796+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-RHEN,KXPGAR1LEAD-FESJC26,Will Russell Henley lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0170,0.0190,0.0210,22328.71,22328.71,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160799+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-RGER,KXPGAR1LEAD-FESJC26,Will Ryan Gerard lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0160,0.0190,0.0180,8277.90,8277.90,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160802+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-RFOX,KXPGAR1LEAD-FESJC26,Will Ryan Fox lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0060,0.0100,0.0100,3429.70,3429.70,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160804+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-RFOW,KXPGAR1LEAD-FESJC26,Will Rickie Fowler lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0140,0.0150,0.0150,5441.10,5441.10,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160807+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-RCAS,KXPGAR1LEAD-FESJC26,Will Ricky Castillo lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0060,0.0090,0.0050,17591.54,16155.43,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160812+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-PROD,KXPGAR1LEAD-FESJC26,Will Patrick Rodgers lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0030,0.0060,0.0070,9633.27,9633.27,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160815+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-PCOO,KXPGAR1LEAD-FESJC26,Will Pierceson Coody lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0000,0.0090,0.0090,13973.79,13973.79,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160817+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-PCAN,KXPGAR1LEAD-FESJC26,Will Patrick Cantlay lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0170,0.0210,0.0210,16333.65,16333.65,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160820+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-NTAY,KXPGAR1LEAD-FESJC26,Will Nick Taylor lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0060,0.0090,0.0090,6995.14,6995.14,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160822+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-NHOJ,KXPGAR1LEAD-FESJC26,Will Nicolai Hojgaard lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0100,0.0120,0.0120,4660.11,4660.11,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160825+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-NECH,KXPGAR1LEAD-FESJC26,Will Nicolas Echavarria lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0050,0.0100,0.0100,29923.99,29643.44,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160828+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MTHO,KXPGAR1LEAD-FESJC26,Will Michael Thorbjornsen lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0130,0.0180,0.0180,14354.60,14353.80,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160830+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MSCH,KXPGAR1LEAD-FESJC26,Will Matti Schmid lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0070,0.0090,0.0090,10446.30,10446.30,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160832+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MMCN,KXPGAR1LEAD-FESJC26,Will Maverick McNealy lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0150,0.0180,0.0180,3221.52,3221.52,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160835+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MMCC,KXPGAR1LEAD-FESJC26,Will Matthew McCarty lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0030,0.0090,0.0090,15769.76,15769.76,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160839+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MLEE,KXPGAR1LEAD-FESJC26,Will Min Woo Lee lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0130,0.0150,0.0160,22303.74,22303.74,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160842+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MKIM,KXPGAR1LEAD-FESJC26,Will Michael Kim lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0100,0.0110,0.0100,24071.70,22307.84,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160844+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MHOM,KXPGAR1LEAD-FESJC26,Will Max Homa lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0050,0.0090,0.0090,15108.00,15062.00,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160847+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MFIT,KXPGAR1LEAD-FESJC26,Will Matt Fitzpatrick lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0160,0.0240,0.0240,9680.72,9290.72,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160849+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-MBRE,KXPGAR1LEAD-FESJC26,Will Michael Brennan lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0160,0.0170,0.0170,24719.01,24659.01,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160852+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-LABE,KXPGAR1LEAD-FESJC26,Will Ludvig Aberg lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0220,0.0240,0.0240,4619.37,4611.37,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160855+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-KREI,KXPGAR1LEAD-FESJC26,Will Kristoffer Reitan lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0140,0.0150,0.0140,525.35,525.35,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160857+00:00
Kalshi,KXPGAR1LEAD,KXPGAR1LEAD-FESJC26-KMIT,KXPGAR1LEAD-FESJC26,Will Keith Mitchell lead at the end of Round 1 in the FedEx St. Jude Championship?,0.0100,0.0120,0.0120,3321.37,3321.37,2026-08-30T00:00:00Z,active,2026-08-11T21:36:53.160860+00:00
