source,series,ticker,event_ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,close_time,status,scraped_at
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-XSCH,KXPGAR3LEAD-FESJC26,Will Xander Schauffele lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0200,0.0700,0.0600,1287.72,1287.72,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313272+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-WKIM,KXPGAR3LEAD-FESJC26,Will Si Woo Kim lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0000,0.0200,0.0200,19.00,19.00,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313284+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-WCLA,KXPGAR3LEAD-FESJC26,Will Wyndham Clark lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0000,0.0200,0.0200,11520.13,11208.00,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313287+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-VHOV,KXPGAR3LEAD-FESJC26,Will Viktor Hovland lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0000,0.0200,0.0500,7500.64,6889.55,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313290+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-TKIM,KXPGAR3LEAD-FESJC26,Will Tom Kim lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0000,0.0200,0.0300,12452.99,11680.00,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313291+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-TFLE,KXPGAR3LEAD-FESJC26,Will Tommy Fleetwood lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0500,0.1000,0.1200,9097.26,9080.26,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313294+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-SYEL,KXPGAR3LEAD-FESJC26,Will Sudarshan Yellamaraju lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0000,0.0900,0.0000,0.00,0.00,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313296+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-STHE,KXPGAR3LEAD-FESJC26,Will Sahith Theegala lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0000,0.0200,0.0000,0.00,0.00,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313298+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-SSTR,KXPGAR3LEAD-FESJC26,Will Sepp Straka lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0000,0.0200,0.0200,1006.40,1006.40,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313300+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-SSTE,KXPGAR3LEAD-FESJC26,Will Sam Stevens lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0000,0.0300,0.0000,0.00,0.00,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313302+00:00
Kalshi,KXPGAR3LEAD,KXPGAR3LEAD-FESJC26-SSCH,KXPGAR3LEAD-FESJC26,Will Scottie Scheffler lead at the end of Round 3 in the FedEx St. Jude Championship?,0.0500,0.1000,0.1000,2412.07,2202.64,2026-08-30T00:00:00Z,active,2026-08-14T15:13:06.313304+00:00
