source,id,player_id,stat_type,line,over_odds,under_odds,sport_id,scraped_at
Underdog,ac2e2688-6cdf-437e-a507-b95d1460021d,,,,,,,2026-09-03T19:59:05.656188+00:00
Underdog,614cd73f-4496-433d-9036-99a8615e5d20,,,,,,,2026-09-03T19:59:05.656191+00:00
Underdog,a8dd1acd-83f6-4250-aed0-bd39e19e9914,,,,,,,2026-09-03T19:59:05.656194+00:00
Underdog,20a0fd91-e05e-4257-bd70-a594515bf265,,,,,,,2026-09-03T19:59:05.656196+00:00
Underdog,839da2d8-e925-4824-895e-cc7a9d1d8796,,,,,,,2026-09-03T19:59:05.656198+00:00
Underdog,81fd21b8-24f7-47a8-a9ba-897c0a4ed683,,,,,,,2026-09-03T19:59:05.656200+00:00
Underdog,3d92f70b-3ebf-4c69-a3af-b33d5029ef43,,,,,,,2026-09-03T19:59:05.656202+00:00
Underdog,ce6918d9-af1d-4cd9-be9b-5669eb88358f,,,,,,,2026-09-03T19:59:05.656204+00:00
Underdog,4e448730-c27e-41a0-afb8-fcb014335024,,,,,,,2026-09-03T19:59:05.656205+00:00
Underdog,15fdefad-22bb-4aa1-ae20-4a6352893aaa,,,,,,,2026-09-03T19:59:05.656207+00:00
Underdog,ab083004-2e9a-461b-994c-9cb9f2567670,,,,,,,2026-09-03T19:59:05.656209+00:00
Underdog,bda0d0b7-8985-4c1a-8747-f245f878adbe,,,,,,,2026-09-03T19:59:05.656211+00:00
Underdog,bbb5ac6e-1658-4d54-a1ee-c91de3274b66,,,,,,,2026-09-03T19:59:05.656220+00:00
Underdog,8ee7dd91-d6d7-469b-ac7e-6c2590dae2df,,,,,,,2026-09-03T19:59:05.656222+00:00
Underdog,a4d32a86-5942-42bc-af67-2accb518f2ac,,,,,,,2026-09-03T19:59:05.656223+00:00
Underdog,bac5cdd4-bcfd-4d80-b418-e831f08f7293,,,,,,,2026-09-03T19:59:05.656225+00:00
